"|","|__name","|__fullname","|__alias","|__conference","|__lat","|__lon","|__metroTotal","|__otherTotal"
"uNavy","Navy","United States Naval Academy","USNA","","38.982066","-76.483941","75.02","24.98"
"uAkron ","Akron ","University of Akron ","","","41.076655","-81.511339","56.97","43.03"
"uALR","Arkansas at Little Rock","University of Arkansas at Little Rock","UALR","","34.724057","-92.338887","80.96","19.04"
"uAPB","Arkansas at Pine Bluff","University of Arkansas at Pine Bluff","UAPB","","34.246872","-92.021339","68.81","31.19"
"uCentralArkansas","Central Arkansas","University of Central Arkansas","UCA","","35.078091","-92.457938","73.21","26.79"
"uDayton","Dayton","University of Dayton","","","39.7393","-84.179967","65.11","34.89"
"uDenver","Denver","University of Denver","","","39.676617","-104.961896","83.92","16.08"
"uDetroit","Detroit","University of Detroit Mercy","","","42.414062","-83.137903","86.57","13.43"
"uEvansville","Evansville","University of Evansville","","","37.973411","-87.532172","49.6","50.4"
"uHartford","Hartford","University of Hartford","","","41.798599","-72.714","82.69","17.31"
"uIdaho","Idaho","University of Idaho","","","46.728812","-117.012608","53.98","46.02"
"uLouisianaLafayette","Louisiana Lafayette","University of Louisiana at Lafayette","ULL","","30.21144","-92.020412","34.23","65.77"
"uLouisianaMonroe","Louisiana Monroe","University of Louisiana at Monroe","ULM","","32.5093","-92.1193","35.48","64.52"
"uMaine","Maine","University of Maine","","","44.90122","-68.666651","56.73","43.27"
"uMES","Maryland Eastern Shore","University of Maryland Eastern Shore","UMES","","38.210217","-75.6848","79.15","20.85"
"uMBC","UMBC","University of Maryland-Baltimore County","UMBC","","39.255613","-76.710975","90.9","9.1"
"uMassLowell","UMass-Lowell","University of Massachusetts-Lowell","","","42.650057","-71.324047","86.15","13.85"
"uMemphis","Memphis","University of Memphis","","","35.118741","-89.937141","85.41","14.59"
"uMKC","UMKC","University of Missouri-Kansas City","","","39.033554","-94.576026","86.43","13.57"
"uMontana","Montana","University of Montana","","","46.860067","-113.985208","44.92","55.08"
"uNO","Nebraska Omaha","University of Nebraska at Omaha","UNO","","41.25825","-96.010705","85.52","14.48"
"uNLV","UNLV","University of Nevada-Las Vegas","","","36.10852","-115.143171","86.91","13.09"
"uNevada","Nevada","University of Nevada-Reno","","","39.544192","-119.816397","39.81","60.19"
"uNewHampshire","New Hampshire","University of New Hampshire","UNH","","43.138948","-70.937025","77.44","22.56"
"uNewOrleans","New Orleans","University of New Orleans","UNO","","30.028596","-90.066036","82.71","17.29"
"uNCAsheville","UNC Asheville","University of North Carolina at Asheville","","","35.616292","-82.567313","35.26","64.74"
"uCharlotte","Charlotte","University of North Carolina at Charlotte","UNC","","35.307093","-80.735164","80.06","19.94"
"uNCGreensboro","UNC Greensboro","University of North Carolina at Greensboro","UNCG","","36.06893","-79.810198","34.65","65.35"
"uNCWilmington","UNC Wilmington","University of North Carolina Wilmington","UNCW","","34.223987","-77.870133","38.9","61.1"
"uNorthDakota","North Dakota","University of North Dakota","UND","","47.922891","-97.076801","44.41","55.59"
"uNorthFlorida","North Florida","University of North Florida","UNF","","30.26612","-81.507231","86.09","13.91"
"uNorthernColorado","Northern Colorado","University of Northern Colorado","UNC","","40.405512","-104.696038","64.45","35.55"
"uNorthernIowa","Northern Iowa","University of Northern Iowa","UNI","","42.513389","-92.462003","45.63","54.37"
"uPortland","Portland","University of Portland","","","45.573205","-122.727571","81.75","18.25"
"uRhodeIsland","Rhode Island","University of Rhode Island","URI","","41.486065","-71.530854","86.03","13.97"
"uRichmond","Richmond","University of Richmond","","","37.575868","-77.540974","84.84","15.16"
"uSanDiego","San Diego","University of San Diego","USD","","32.776873","-117.154901","89.41","10.59"
"uSanFrancisco","San Francisco","University of San Francisco","USF","","37.776647","-122.450683","88.13","11.87"
