"|","|__name","|__fullname","|__alias","|__conference","|__lat","|__lon","|__metroTotal","|__otherTotal"
"uOklahomaSt","Oklahoma State","Oklahoma State University","OSU","Big12","36.127024","-97.073722","74.96","25.04"
"uOregon","Oregon","University of Oregon","UO","Pac12","44.04483","-123.072606","67.97","32.03"
"uOregonSt","Oregon State","Oregon State University","OSU","Pac12","44.563781","-123.279444","64","36"
"uPenn","Penn","University of Pennsylvania","Upenn","Ivy","39.952219","-75.193214","86.87","13.13"
"uPennState","Penn State","Pennsylvania State University","","Big10","40.798213","-77.859908","64.62","35.38"
"uPittsburgh","Pittsburgh","University of Pittsburgh","Pitt","ACC","40.444353","-79.960835","82.5","17.5"
"uPitzer","Pitzer","Pitzer College","","","34.104662","-117.704719","87.86","12.14"
"uPomona","Pomona","Pomona College","","","34.097743","-117.711803","87.33","12.67"
"uPrinceton","Princeton","Princeton University","","Ivy","40.343989","-74.651448","80.33","19.67"
"uProvidence","Providence","Providence College","PC","BigEast","41.844093","-71.438165","86.47","13.53"
"uPurdue","Purdue","Purdue University","","Big10","40.423705","-86.921195","66.12","33.88"
"uReed","Reed","Reed College","","","45.480978","-122.630372","71.37","28.63"
"uRhodes","Rhodes","Rhodes College","","","35.155084","-89.989287","78.66","21.34"
"uRice","Rice","Rice University","","","29.717394","-95.401831","85.89","14.11"
"uRiverside","UC Riverside","University of California-Riverside","","","33.973706","-117.328064","91.41","8.59"
"uRochester","Rochester","University of Rochester","","","43.130553","-77.626003","83.08","16.92"
"uRollins","Rollins","Rollins College","","","28.592242","-81.348326","78.13","21.87"
"uRutgers","Rutgers","Rutgers University","","Big10","40.497842","-74.446429","89.22","10.78"
"uSaintAnselm","Saint Anselm","Saint Anselm College","","","42.987472","-71.507231","77.84","22.16"
"uSaintMaryCA","Saint Mary's (Calif.)","Saint Mary's College (Calif.)","St","","37.841347","-122.110135","74.55","25.45"
"uSaintMarysIN","Saint Mary's (Ind.)","Saint Mary's College (Ind.)","St","","41.707304","-86.256745","72.61","27.39"
"uCSanDiego","UC San Diego","University of California-San Diego","","","32.88006","-117.234013","90.62","9.38"
"uSantaBarbara","UC Santa Barbara","University of California-Santa Barbara","","","34.413963","-119.848947","73.94","26.06"
"uSantaCruz","UC Santa Cruz","University of California-Santa Cruz","","","36.991474","-122.058297","79.77","20.23"
"uSC","Southern California","University of Southern California","USC","Pac12","34.022352","-118.285117","90.16","9.84"
"uSCarolina","South Carolina","University of South Carolina","USC","SEC","33.996112","-81.027428","45.5","54.5"
"uScripps","Scripps","Scripps College","","","34.103935","-117.710213","87.24","12.76"
"uSeattle","Seattle","Seattle University","","","47.609228","-122.317714","89.19","10.81"
"uSetonHall","Seton Hall","Seton Hall University","SHU","BigEast","40.743011","-74.2471","88.58","11.42"
"uSewanee","Sewanee","Sewanee-The University of the South","","","35.20518","-85.917661","65.16","34.84"
"uSF","South Florida","University of South Florida","USF","","28.058703","-82.413854","79.67","20.33"
"uSiena","Siena","Siena College","","","42.718452","-73.752195","49.43","50.57"
"uSimmons","Simmons","Simmons College","","","42.339366","-71.099936","85.17","14.83"
"uSkidmore","Skidmore","Skidmore College","","","43.097276","-73.784181","78.59","21.41"
"uSmith","Smith","Smith College","","","42.318096","-72.637234","72.3","27.7"
"uSpelman","Spelman","Spelman College","","","33.74636","-84.412293","89.61","10.39"
"uStanford","Stanford","Stanford University","","Pac12","37.427475","-122.169719","86.75","13.25"
"uStJohns","St. John's","St John's University","Saint","BigEast","40.721597","-73.79469","86.71","13.29"
"uStLawrence","St. Lawrence","St Lawrence University","Saint","","44.589212","-75.160881","65.67","34.33"
"uStMarysMD","St. Mary's (Md.)","St Mary's College of Maryland","Saint","","38.190926","-76.429031","82.46","17.54"
"uStOlaf","St. Olaf","St Olaf College","Saint","","44.461768","-93.182817","48.01","51.99"
"uStonehill","Stonehill","Stonehill College","","","42.059015","-71.080628","87.43","12.57"
"uStonyBrook","Stony Brook","Stony Brook University","SBU","","40.912376","-73.123389","88.83","11.17"
"uSusquehanna","Susquehanna","Susquehanna University","","","40.797327","-76.87448","62.98","37.02"
"uSwarthmore","Swarthmore","Swarthmore College","","","39.906841","-75.355648","84.1","15.9"
"uSyracuse","Syracuse","Syracuse University","","ACC","43.039153","-76.135116","70.89","29.11"
"uTAMU","Texas A&M","Texas A&M University","TAMU","SEC","30.618531","-96.336499","73.66","26.34"
"uTCU","Texas Christian","Texas Christian University","TCU","Big12","32.70953","-97.362795","88.28","11.72"
"uTemple","Temple","Temple University","","","39.981194","-75.155351","87.4","12.6"
"uTennessee","Tennessee","University of Tennessee","","SEC","35.954401","-83.929456","50.06","49.94"
"uTexas","Texas","University of Texas at Austin","","Big12","30.284919","-97.734057","87.71","12.29"
"uTexasArlington","Texas at Arlington","University of Texas at Arlington","UTA","","32.730108","-97.116252","90.4","9.6"
"uTexasDallas","Texas at Dallas","University of Texas at Dallas","UTD","","32.985762","-96.750099","93.59","6.41"
"uTexasTech","Texas Tech","Texas Tech University","TTU","Big12","30.245105","-98.84276","65.8","34.2"
"uTrinityCT","Trinity C. (Conn.)","Trinity College Conn.","","","41.747933","-72.690334","76.74","23.26"
"uTrinityTX","Trinity U. (Texas)","Trinity University Texas","","","29.461844","-98.483162","83.63","16.37"
"uTufts","Tufts","Tufts University","","","42.407484","-71.119023","86.89","13.11"
"uTulane","Tulane","Tulane University","","","29.940348","-90.120728","82.32","17.68"
"uUnion","Union","Union College","","","42.817017","-73.929805","64.22","35.78"
"uUtah","Utah","University of Utah","","Pac12","40.764937","-111.842102","79.34","20.66"
"uVanderbilt","Vanderbilt","Vanderbilt University","Vandy","SEC","36.144703","-86.802655","81.9","18.1"
"uVassar","Vassar","Vassar College","","","41.686799","-73.8957","85.42","14.58"
"uVaTech","Virginia Tech","Virginia Polytechnic Institute and State University","","ACC","37.228384","-80.423417","69.71","30.29"
"uVCU","Virginia Commonwealth","Virginia Commonwealth University","VCU","","37.546508","-77.45346","84.82","15.18"
"uVillanova","Villanova","Villanova University","","BigEast","40.037056","-75.34358","84.56","15.44"
"uVirginia","Virginia","University of Virginia","UVA","ACC","38.033553","-78.507977","73.06","26.94"
"uWake","Wake Forest","Wake Forest University","","ACC","36.13525","-80.276342","59.36","40.64"
"uWashington","Washington","University of Washington","UW","Pac12","47.655335","-122.30352","87.2","12.8"
"uWashU","Washington U. (Mo.)","Washington University St Louis Mo.","WashU","","38.64879","-90.310796","85.26","14.74"
"uWayne","Wayne State","Wayne State University","WSU","","42.359139","-83.066546","87.37","12.63"
"uWazzu","Washington State","Washington State University","WSU Wazzu","Pac12","46.731923","-117.154212","67.13","32.87"
"uWellesley","Wellesley","Wellesley College","","","42.293573","-71.305928","85.81","14.19"
"uWesleyan","Wesleyan","Wesleyan University","","","41.55661","-72.656904","84.5","15.5"
"uWheatonIL","Wheaton (Ill.)","Wheaton College Ill.","","","41.86833","-88.099622","78.8","21.2"
"uWheatonMA","Wheaton (Mass.)","Wheaton College Mass.","","","41.96801","-71.185194","62.32","37.68"
"uWhitman","Whitman","Whitman College","","","46.07058","-118.330635","72.86","27.14"
"uWillamette","Willamette","Willamette University","","","44.935971","-123.03186","70.45","29.55"
"uWilliams","Williams","Williams College","","","42.712804","-73.203021","76","24"
"uWisconsin","Wisconsin","University of Wisconsin-Madison","UW","Big10","43.076592","-89.412487","55.87","44.13"
"uWofford","Wofford","Wofford College","","","34.958066","-81.93449","47.71","52.29"
"uWooster","Wooster","The College of Wooster","","","40.81105","-81.933619","72.62","27.38"
"uWVU","West Virginia","West Virginia University","WVU","Big12","39.63614","-79.955936","62.03","37.97"
"uXavier","Xavier","Xavier University","XU","BigEast","39.149364","-84.474512","87.02","12.98"
"uYale","Yale","Yale University","","Ivy","41.316324","-72.922343","76.4","23.6"
"uAbileneChristian","Abilene Christian","Abilene Christian University","ACU","","32.469732","-99.708098","67.21","32.79"
"uAlabamaAM","Alabama A&M","Alabama A&M University","AAMU","","34.7846","-86.572","52.31","47.69"
"uAlabamaSt","Alabama State","Alabama State University","ASU","","32.363662","-86.294054","51.48","48.52"
"uAppState","Appalachian State","Appalachian State University","App State","","36.213484","-81.684145","44.87","55.13"
"uArkansasSt","Arkansas State","Arkansas State University","ASU","","35.843086","-90.674859","46.27","53.73"
"uAustinPeay","Austin Peay","Austin Peay State University","AP","","36.53498","-87.354886","49.14","50.86"
"uBallState","Ball State","Ball State University","BSU","","40.21475","-85.418382","63.3","36.7"
"uBelmont","Belmont","Belmont University","","","36.132898","-86.79407","85.25","14.75"
"uBethuneCookman","Bethune-Cookman","Bethune-Cookman University","BCU","","29.21101","-81.031575","70.49","29.51"
"uBoiseState","Boise State","Boise State University","","","43.603313","-116.201649","83.26","16.74"
"uBowlingGreen","Bowling Green","Bowling Green State University","","","41.379779","-83.630083","59.16","40.84"
"uBradley","Bradley","Bradley University","","","40.697774","-89.615348","63.62","36.38"
"uBYU","Brigham Young ","Brigham Young University Provo","BYU","","40.251844","-111.649316","71.73","28.27"
"uBryant","Bryant","Bryant University","","","41.921192","-71.537882","57.06","42.94"
"uCalPoly","Cal Poly","California Polytechnic State University-San Luis Obispo","","","35.30221","-120.665112","68.07","31.93"
"uCSUBakersfield","CSU Bakersfield","California State University-Bakersfield","CSUB","","35.348251","-119.103684","36.19","63.81"
"uFresno","Fresno State","California State University-Fresno","","","36.813364","-119.746094","36.73","63.27"
"uFullerton","Cal State Fullerton","California State University-Fullerton","CSUF","","33.882923","-117.886926","92.11","7.89"
"uLongBeach","Long Beach State","California State University-Long Beach","","","33.783824","-118.11409","91.29","8.71"
"uCSUNorthridge","CSU Northridge","California State University-Northridge","CSUN","","34.242591","-118.527712","85.9","14.1"
"uSacramento","Sacramento State","California State University-Sacramento","","","38.561144","-121.424042","84.17","15.83"
"uCampbell","Campbell","Campbell University","","","35.408337","-78.73943","42.89","57.11"
"uCanisius","Canisius","Canisius College","","","42.924834","-78.851485","86.24","13.76"
"uCCSU","Central Connecticut State","Central Connecticut State University","CCSU","","41.693255","-72.764167","76.96","23.04"
"uCMU","Central Michigan","Central Michigan University","CMU","","43.581909","-84.775636","64.56","35.44"
"uCharlestonSouthern","Charleston Southern","Charleston Southern University","","","32.982183","-80.070655","30.37","69.63"
"uChicagoState","Chicago State","Chicago State University","","","41.717958","-87.609374","94.17","5.83"
"uCitadel","The Citadel","Citadel Military College of South Carolina","","","32.797075","-79.960674","42.65","57.35"
"uCleveland","Cleveland State","Cleveland State University","","","41.502497","-81.674718","88.53","11.47"
"uCoastalCarolina","Coastal Carolina","Coastal Carolina University","","","33.794966","-79.01173","43.24","56.76"
"uCharleston","Charleston","College of Charleston","","","32.783612","-79.937176","42.52","57.48"
"uWilliamMary","William and Mary","College of William and Mary","&","","37.271674","-76.713378","82.44","17.56"
"uCoppin","Coppin State","Coppin State University","","","39.312614","-76.657906","94.63","5.37"
"uDelawareState","Delaware State","Delaware State University","","","39.186137","-75.542273","72.56","27.44"
"uDrake","Drake","Drake University","","","41.602913","-93.655298","77.65","22.35"
"uDrexel","Drexel","Drexel University","","","39.956613","-75.189944","86.94","13.06"
"uDuquesne","Duquesne","Duquesne University","","","40.437295","-79.990173","84.38","15.62"
"uEastCarolina","East Carolina","East Carolina University","ECU","","35.605511","-77.364565","42.7","57.3"
"uEastTenn","East Tennessee State","East Tennessee State University","ETSU","","36.302537","-82.370193","33.23","66.77"
"uEasternllinois","Eastern Illinois","Eastern Illinois University","EIU","","39.478029","-88.175905","64.71","35.29"
"uEasternKentucky","Eastern Kentucky","Eastern Kentucky University","EKU","","37.735321","-84.298672","39.63","60.37"
"uEMU","Eastern Michigan ","Eastern Michigan University","EMU","","42.25068","-83.624089","72.62","27.38"
"uEasternWashington","Eastern Washington","Eastern Washington University","EWU","","47.490616","-117.585481","42.69","57.31"
"uFairfield","Fairfield","Fairfield University","","","41.158764","-73.257362","74.79","25.21"
"uFairleighDickinson","Fairleigh Dickinson","Fairleigh Dickinson University","","","40.897793","-74.030864","89.58","10.42"
"uFAMU","Florida A&M","Florida Agricultural and Mechanical University","FAMU","","30.423894","-84.287445","63.63","36.37"
"uFAU","Florida Atlantic","Florida Atlantic University","FAU","","26.373528","-80.102218","86.82","13.18"
"uFCGU","Florida Gulf Coast","Florida Gulf Coast University","FGCU","","26.464321","-81.77339","34.63","65.37"
"uFordham","Fordham","Fordham University","","","40.86204","-73.885699","90.49","9.51"
"uGardnerWebb","Gardner-Webb","Gardner-Webb University","","","35.247563","-81.670737","47.93","52.07"
"uGaSouthern","Georgia Southern","Georgia Southern University","GSU","","32.420549","-81.786535","56.02","43.98"
"uGrambling","Grambling State","Grambling State University","","","32.521291","-92.719296","64.54","35.46"
"uGrandCanyon","Grand Canyon","Grand Canyon University","","","33.510165","-112.128786","73.27","26.73"
"uHampton","Hampton","Hampton University","","","37.022839","-76.33436","87.77","12.23"
"uHighPoint","High Point","High Point University","","","35.972384","-79.995308","42.79","57.21"
"uHofstra","Hofstra","Hofstra University","","","40.716792","-73.599404","92.02","7.98"
"uHoustonBaptist","Houston Baptist","Houston Baptist University","HBU","","29.695289","-95.515332","91.94","8.06"
"uHoward","Howard","Howard University","","","38.922684","-77.019438","89.42","10.58"
"uIdahoState","Idaho State","Idaho State University","","","42.862723","-112.429716","41.66","58.34"
"uIllinoisState","Illinois State","Illinois State University","","","40.512283","-88.99467","67.95","32.05"
"uIndianaState","Indiana State","Indiana State University","","","39.470531","-87.410374","56.69","43.31"
"uFortWayne","Fort Wayne","Indiana University-Purdue University-Fort Wayne","","","41.117335","-85.107782","22.48","77.52"
"uIUPUI","IUPUI","Indiana University-Purdue University-Indianapolis","","","39.773883","-86.176339","82.52","17.48"
"uIona","Iona","Iona College","","","40.927319","-73.786183","85.63","14.37"
"uJacksonState","Jackson State","Jackson State University","JSU","","32.296885","-90.206396","83.25","16.75"
"uJacksonvilleState","Jacksonville State","Jacksonville State University","JSU","","33.823059","-85.768108","47.47","52.53"
"uJacksonville","Jacksonville U.","Jacksonville University","","","30.352531","-81.607244","80.17","19.83"
"uJMU","James Madison","James Madison University","JMU","","38.435092","-78.869755","74.2","25.8"
"uKennesawState","Kennesaw State","Kennesaw State University","","","34.038078","-84.581572","77.03","22.97"
"uKentState","Kent State","Kent State University at Kent","","","41.149063","-81.341465","60.66","39.34"
"uLaSalle","La Salle","La Salle University","","","40.038756","-75.156632","86.96","13.04"
"uLamar","Lamar","Lamar University","","","30.040144","-94.075231","57.07","42.93"
"uLehigh","Lehigh","Lehigh University","","","40.606909","-75.378283","71.81","28.19"
"uLiberty","Liberty","Liberty University","","","37.352932","-79.176928","54.69","45.31"
"uLipscomb","Lipscomb","Lipscomb University","","","36.105632","-86.79999","83.4","16.6"
"uLIUBrooklyn","LIU Brooklyn","LIU Brooklyn","Long Island","","40.690849","-73.980508","90.63","9.37"
"uLaTech","Louisiana Tech","Louisiana Tech University","La","","32.526375","-92.64811","43.12","56.88"
"uLoyolaMarymount","Loyola Marymount","Loyola Marymount University","","","33.969818","-118.418497","92.92","7.08"
"uLoyolaChicago","Loyola Chicago","Loyola University Chicago","","","41.998997","-87.658192","89.88","10.12"
"uLoyolaMaryland","Loyola Maryland","Loyola University Maryland","","","39.347674","-76.617237","88.92","11.08"
"uMarist","Marist","Marist College","","","41.722457","-73.93412","36.94","63.06"
"uMarshall","Marshall","Marshall University","","","38.423533","-82.426314","47.22","52.78"
"uMcNeese","McNeese State","McNeese State University","","","30.178366","-93.215629","31.89","68.11"
"uMiamiOH","Miami  of Ohio","Miami University of Ohio","","","39.510533","-84.730877","82.02","17.98"
