school,name,fullname,lat,lon,metroTotal,otherTotal,miami
uIrvine,UC Irvine,University of California-Irvine,33.640495,-117.844296,91.36,8.64,0.288
uIthaca,Ithaca,Ithaca College,42.421658,-76.498564,73.47,26.53,1.574
uJuniata,Juniata,Juniata College,40.50014,-78.015898,53.64,46.36,0.498
uKalamazoo,Kalamazoo,Kalamazoo College,42.290035,-85.598145,63.36,36.64,0.608
uKansas,Kansas,University of Kansas,38.954344,-95.255796,73.83,26.17,0.537
uKentucky,Kentucky,University of Kentucky,38.030651,-84.50397,49.39,50.61,0.781
uKenyon,Kenyon,Kenyon College,40.371897,-82.398308,79.52,20.48,0.562
uKnox,Knox,Knox College,40.941889,-90.371867,65.63,34.37,2.09
uKState,Kansas State,Kansas State University,39.197444,-96.584725,64.39,35.61,0.479
uLafayette,Lafayette,Lafayette College,40.69862,-75.20873,73.03,26.97,1.103
uLakeForest,Lake Forest,Lake Forest College,42.249058,-87.828913,86.16,13.84,1.146
uLawrence,Lawrence,Lawrence University,44.261576,-88.3981,64.37,35.63,0.819
uLewisClark,Lewis & Clark,Lewis & Clark College,45.451742,-122.668863,82.13,17.87,0.222
uLinfield,Linfield,Linfield College,45.200606,-123.199224,71.55,28.45,0.174
uLouisville,Louisville,University of Louisville,38.212276,-85.758502,83.12,16.88,0.879
uLSU,Louisiana State,Louisiana State University,30.413258,-91.180002,50.44,49.56,0.884
uMacalester,Macalester,Macalester College,44.939763,-93.168729,64.76,35.24,0.456
uManhattan,Manhattan,Manhattan College,40.889962,-73.901062,89.81,10.19,1.812
uMarietta,Marietta,Marietta College,39.414546,-81.449107,63.46,36.54,0.959
uMarquette,Marquette,Marquette University,43.038222,-87.929755,81.87,18.13,0.643
uMaryland,Maryland,University of Maryland,38.986918,-76.942554,85.99,14.01,1.284
uMason,George Mason,George Mason University,38.831554,-77.312089,90.96,9.04,0.675
uMass,UMass,University of Massachusetts,42.391157,-72.526712,74.49,25.51,1.319
uMercer,Mercer,Mercer University,33.872925,-84.263179,69.25,30.75,1.358
uMiami,Miami,University of Miami,25.719169,-80.277125,87.34,12.66,45.31
uMichigan,Michigan,University of Michigan,42.278044,-83.738224,74.78,25.22,1.012
uMichiganSt,Michigan State,Michigan State University,42.701848,-84.482172,66.38,33.62,0.862
uMilwaukee,Wisconsin-Milwaukee,University of Wisconsin-Milwaukee,43.078263,-87.881969,79.6,20.4,0.469
uMinnesota,Minnesota,University of Minnesota,44.97399,-93.227729,50.3,49.7,0.438
uMiss,Ole Miss,University of Mississippi,34.364732,-89.538443,63.69,36.31,0.652
uMissouri,Missouri,University of Missouri,38.940381,-92.327738,70.32,29.68,0.606
uMissSt,Mississippi State,Mississippi State University,33.455174,-88.794377,54.66,45.34,0.541
uMIT,MIT,Massachusetts Institute of Technology,42.360091,-71.09416,85.42,14.58,1.232
uMountHolyoke,Mount Holyoke,Mount Holyoke College,42.253254,-72.576139,71.56,28.44,1.252
uMuhlenberg,Muhlenberg,Muhlenberg College,40.597544,-75.510132,71.48,28.52,1.274
uNCState,North Carolina State,North Carolina State University,35.784663,-78.682095,53.52,46.48,0.635
uNebraska,Nebraska,University of Nebraska,40.820197,-96.700476,57.45,42.55,0.434
uNewMexico,New Mexico,University of New Mexico,35.084319,-106.619781,78.69,21.31,0.628
uNorthCarolina,North Carolina,University of North Carolina,35.904912,-79.046913,53.77,46.23,0.964
uNortheastern,Northeastern,Northeastern University,42.339807,-71.089172,88.12,11.88,1.407
uNorthwestern,Northwestern,Northwestern University,42.056459,-87.675267,85.94,14.06,1.265
uNotreDame,Notre Dame,University of Notre Dame,41.705572,-86.235339,75.16,24.84,1.361
uNTexas,North Texas,University of North Texas,33.207488,-97.152586,89.43,10.57,0.301
uNYU,NYU,New York University,40.729513,-73.996461,91.07,8.93,2.335
uOberlin,Oberlin,Oberlin College,41.293483,-82.2236,82.68,17.32,0.639
uOccidental,Occidental,Occidental College,34.127362,-118.210504,87.63,12.37,0.488
uOhioSt,Ohio State,Ohio State University,40.014191,-83.030914,79.39,20.61,0.974
uOhioWesleyan,Ohio Wesleyan,Ohio Wesleyan University,40.296479,-83.069306,79.27,20.73,0.921
uOklahoma,Oklahoma,University of Oklahoma,35.205894,-97.445714,83.18,16.82,0.524
uOklahomaSt,Oklahoma State,Oklahoma State University,36.127024,-97.073722,74.96,25.04,0.386
uOregon,Oregon,University of Oregon,44.04483,-123.072606,67.97,32.03,0.285
uOregonSt,Oregon State,Oregon State University,44.563781,-123.279444,64,36,0.215
uPenn,Penn,University of Pennsylvania,39.952219,-75.193214,86.87,13.13,1.767
uPennState,Penn State,Pennsylvania State University,40.798213,-77.859908,64.62,35.38,0.961
uPittsburgh,Pittsburgh,University of Pittsburgh,40.444353,-79.960835,82.5,17.5,1.065
uPitzer,Pitzer,Pitzer College,34.104662,-117.704719,87.86,12.14,1.382
uPomona,Pomona,Pomona College,34.097743,-117.711803,87.33,12.67,0.363
uPrinceton,Princeton,Princeton University,40.343989,-74.651448,80.33,19.67,1.101
uProvidence,Providence,Providence College,41.844093,-71.438165,86.47,13.53,0.868
uPurdue,Purdue,Purdue University,40.423705,-86.921195,66.12,33.88,0.693
uReed,Reed,Reed College,45.480978,-122.630372,71.37,28.63,0.34
uRhodes,Rhodes,Rhodes College,35.155084,-89.989287,78.66,21.34,0.658
uRice,Rice,Rice University,29.717394,-95.401831,85.89,14.11,0.667
uRiverside,UC Riverside,University of California-Riverside,33.973706,-117.328064,91.41,8.59,0.204
uRochester,Rochester,University of Rochester,43.130553,-77.626003,83.08,16.92,1.068
uRollins,Rollins,Rollins College,28.592242,-81.348326,78.13,21.87,4.152
uRutgers,Rutgers,Rutgers University,40.497842,-74.446429,89.22,10.78,1.284
uSaintAnselm,Saint Anselm,Saint Anselm College,42.987472,-71.507231,77.84,22.16,0.747
uSaintMaryCA,Saint Mary's (Calif.),Saint Mary's College (Calif.),37.841347,-122.110135,74.55,25.45,0.45
uSaintMarysIN,Saint Mary's (Ind.),Saint Mary's College (Ind.),41.707304,-86.256745,72.61,27.39,0.879
uCSanDiego,UC San Diego,University of California-San Diego,32.88006,-117.234013,90.62,9.38,0.376
uSantaBarbara,UC Santa Barbara,University of California-Santa Barbara,34.413963,-119.848947,73.94,26.06,0.308
uSantaCruz,UC Santa Cruz,University of California-Santa Cruz,36.991474,-122.058297,79.77,20.23,0.369
uSC,Southern California,University of Southern California,34.022352,-118.285117,90.16,9.84,0.534
uSCarolina,South Carolina,University of South Carolina,33.996112,-81.027428,45.5,54.5,1.042
uScripps,Scripps,Scripps College,34.103935,-117.710213,87.24,12.76,0.291
uSeattle,Seattle,Seattle University,47.609228,-122.317714,89.19,10.81,0.247
uSetonHall,Seton Hall,Seton Hall University,40.743011,-74.2471,88.58,11.42,1.27
uSewanee,Sewanee,Sewanee-The University of the South,35.20518,-85.917661,65.16,34.84,0.762
uSF,South Florida,University of South Florida,28.058703,-82.413854,79.67,20.33,5.655
uSiena,Siena,Siena College,42.718452,-73.752195,49.43,50.57,1.56
uSimmons,Simmons,Simmons College,42.339366,-71.099936,85.17,14.83,0.963
uSkidmore,Skidmore,Skidmore College,43.097276,-73.784181,78.59,21.41,1.215
uSmith,Smith,Smith College,42.318096,-72.637234,72.3,27.7,1.143
uSpelman,Spelman,Spelman College,33.74636,-84.412293,89.61,10.39,1.139
uStanford,Stanford,Stanford University,37.427475,-122.169719,86.75,13.25,0.745
uStJohns,St. John's,St John's University,40.721597,-73.79469,86.71,13.29,2.105
uStLawrence,St. Lawrence,St Lawrence University,44.589212,-75.160881,65.67,34.33,0.829
uStMarysMD,St. Mary's (Md.),St Mary's College of Maryland,38.190926,-76.429031,82.46,17.54,0.559
uStOlaf,St. Olaf,St Olaf College,44.461768,-93.182817,48.01,51.99,0.249
uStonehill,Stonehill,Stonehill College,42.059015,-71.080628,87.43,12.57,0.8
uStonyBrook,Stony Brook,Stony Brook University,40.912376,-73.123389,88.83,11.17,1.606
uSusquehanna,Susquehanna,Susquehanna University,40.797327,-76.87448,62.98,37.02,0.754
uSwarthmore,Swarthmore,Swarthmore College,39.906841,-75.355648,84.1,15.9,0.715
uSyracuse,Syracuse,Syracuse University,43.039153,-76.135116,70.89,29.11,1.723
uTAMU,Texas A&M,Texas A&M University,30.618531,-96.336499,73.66,26.34,0.411
uTCU,Texas Christian,Texas Christian University,32.70953,-97.362795,88.28,11.72,0.592
uTemple,Temple,Temple University,39.981194,-75.155351,87.4,12.6,1.221
uTennessee,Tennessee,University of Tennessee,35.954401,-83.929456,50.06,49.94,0.837
uTexas,Texas,University of Texas at Austin,30.284919,-97.734057,87.71,12.29,0.645
uTexasArlington,Texas at Arlington,University of Texas at Arlington,32.730108,-97.116252,90.4,9.6,0.334
uTexasDallas,Texas at Dallas,University of Texas at Dallas,32.985762,-96.750099,93.59,6.41,0.301
uTexasTech,Texas Tech,Texas Tech University,30.245105,-98.84276,65.8,34.2,0.35
uTrinityCT,Trinity C. (Conn.),Trinity College Conn.,41.747933,-72.690334,76.74,23.26,1.13
uTrinityTX,Trinity U. (Texas),Trinity University Texas,29.461844,-98.483162,83.63,16.37,1.108
uTufts,Tufts,Tufts University,42.407484,-71.119023,86.89,13.11,1.426
uTulane,Tulane,Tulane University,29.940348,-90.120728,82.32,17.68,2.732
uUnion,Union,Union College,42.817017,-73.929805,64.22,35.78,1.288
uUtah,Utah,University of Utah,40.764937,-111.842102,79.34,20.66,0.318
uVanderbilt,Vanderbilt,Vanderbilt University,36.144703,-86.802655,81.9,18.1,1.305
uVassar,Vassar,Vassar College,41.686799,-73.8957,85.42,14.58,1.138
uVaTech,Virginia Tech,Virginia Polytechnic Institute and State University,37.228384,-80.423417,69.71,30.29,0.689
uVCU,Virginia Commonwealth,Virginia Commonwealth University,37.546508,-77.45346,84.82,15.18,0.829
uVillanova,Villanova,Villanova University,40.037056,-75.34358,84.56,15.44,1.299
uVirginia,Virginia,University of Virginia,38.033553,-78.507977,73.06,26.94,0.993
uWake,Wake Forest,Wake Forest University,36.13525,-80.276342,59.36,40.64,1.05
uWashington,Washington,University of Washington,47.655335,-122.30352,87.2,12.8,0.274
uWashU,Washington U. (Mo.),Washington University St Louis Mo.,38.64879,-90.310796,85.26,14.74,1.088
uWayne,Wayne State,Wayne State University,42.359139,-83.066546,87.37,12.63,0.698
uWazzu,Washington State,Washington State University,46.731923,-117.154212,67.13,32.87,0.282
uWellesley,Wellesley,Wellesley College,42.293573,-71.305928,85.81,14.19,0.968
uWesleyan,Wesleyan,Wesleyan University,41.55661,-72.656904,84.5,15.5,0.973
uWheatonIL,Wheaton (Ill.),Wheaton College Ill.,41.86833,-88.099622,78.8,21.2,0.744
uWheatonMA,Wheaton (Mass.),Wheaton College Mass.,41.96801,-71.185194,62.32,37.68,1.825
uWhitman,Whitman,Whitman College,46.07058,-118.330635,72.86,27.14,0.282
uWillamette,Willamette,Willamette University,44.935971,-123.03186,70.45,29.55,0.317
uWilliams,Williams,Williams College,42.712804,-73.203021,76,24,2.058
uWisconsin,Wisconsin,University of Wisconsin-Madison,43.076592,-89.412487,55.87,44.13,0.676
uWofford,Wofford,Wofford College,34.958066,-81.93449,47.71,52.29,0.744
uWooster,Wooster,The College of Wooster,40.81105,-81.933619,72.62,27.38,0.701
uWVU,West Virginia,West Virginia University,39.63614,-79.955936,62.03,37.97,1.123
uXavier,Xavier,Xavier University,39.149364,-84.474512,87.02,12.98,0.748
uYale,Yale,Yale University,41.316324,-72.922343,76.4,23.6,1.122
uAbileneChristian,Abilene Christian,Abilene Christian University,32.469732,-99.708098,67.21,32.79,0.358
uAlabamaAM,Alabama A&M,Alabama A&M University,34.7846,-86.572,52.31,47.69,0.982
uAlabamaSt,Alabama State,Alabama State University,32.363662,-86.294054,51.48,48.52,1.738
uAppState,Appalachian State,Appalachian State University,36.213484,-81.684145,44.87,55.13,0.608
uArkansasSt,Arkansas State,Arkansas State University,35.843086,-90.674859,46.27,53.73,0.392
uAustinPeay,Austin Peay,Austin Peay State University,36.53498,-87.354886,49.14,50.86,0.558
uBallState,Ball State,Ball State University,40.21475,-85.418382,63.3,36.7,0.544
uBelmont,Belmont,Belmont University,36.132898,-86.79407,85.25,14.75,0.489
uBethuneCookman,Bethune-Cookman,Bethune-Cookman University,29.21101,-81.031575,70.49,29.51,15.991
uBoiseState,Boise State,Boise State University,43.603313,-116.201649,83.26,16.74,0.217
uBowlingGreen,Bowling Green,Bowling Green State University,41.379779,-83.630083,59.16,40.84,0.744
uBradley,Bradley,Bradley University,40.697774,-89.615348,63.62,36.38,0.659
uBYU,Brigham Young ,Brigham Young University Provo,40.251844,-111.649316,71.73,28.27,0.293
uBryant,Bryant,Bryant University,41.921192,-71.537882,57.06,42.94,1.421
uCalPoly,Cal Poly,California Polytechnic State University-San Luis Obispo,35.30221,-120.665112,68.07,31.93,0.195
