school,name,fullname,lat,lon,metroTotal,otherTotal,miami
uMTSU,Middle Tennessee State,Middle Tennessee State University,35.848611,-86.364881,81.14,18.86,0.509
uMVSU,Mississippi Valley State,Mississippi Valley State University,33.512698,-90.341672,60.24,39.76,0.274
uMissouriState,Missouri State,Missouri State University-Springfield,37.200566,-93.28067,54.72,45.28,0.45
uMonmouth,Monmouth,Monmouth University,40.280456,-74.005811,90.53,9.47,1.563
uMontanaState,Montana State,Montana State University,45.666756,-111.04981,45.49,54.51,0.271
uMorganState,Morgan State,Morgan State University,39.343796,-76.584385,92.19,7.81,0.725
uMurrayState,Murray State,Murray State University,36.616384,-88.321498,42.72,57.28,0.572
uNJIT,NJIT,New Jersey Institute of Technology,40.742335,-74.179341,91.05,8.95,1.046
uNewMexicoState,New Mexico State,New Mexico State University,32.278774,-106.747906,51.19,48.81,0.472
uNiagara,Niagara,Niagara University,43.136515,-79.03532,81.08,18.92,1.312
uNicholls,Nicholls State,Nicholls State University,29.790742,-90.80286,38.55,61.45,0.487
uNorfolk,Norfolk State,Norfolk State University,36.848016,-76.262085,88.07,11.93,0.758
uNCAT,North Carolina A&T,North Carolina A & T State University,36.07259,-79.773367,49.36,50.64,0.496
uNCC,North Carolina Central,North Carolina Central University,35.974737,-78.898101,45.26,54.74,0.553
uNDSU,North Dakota State,North Dakota State University,46.897753,-96.802437,57.92,42.08,0.263
uNorthernArizona,Northern Arizona,Northern Arizona University,35.18519,-111.654707,72.17,27.83,0.275
uNorthernIllinois,Northern Illinois,Northern Illinois University,41.934233,-88.774069,84.89,15.11,0.5
uNorthernKentucky,Northern Kentucky,Northern Kentucky University,39.031803,-84.464383,88.74,11.26,0.321
uNorthwesternState,Northwestern State,Northwestern State University of Louisiana,31.748761,-93.097793,35.69,64.31,0.409
uOakland ,Oakland ,Oakland University,42.668848,-83.206641,87.8,12.2,0.534
uOhio,Ohio,Ohio University,39.324358,-82.101389,68.94,31.06,0.818
uODU,Old Dominion,Old Dominion University,36.88561,-76.306778,82.87,17.13,0.802
uOralRoberts,Oral Roberts,Oral Roberts University,36.051315,-95.951689,77.89,22.11,1.388
uPepperdine,Pepperdine,Pepperdine University,34.041405,-118.709581,88.14,11.86,0.657
uPortlandState,Portland State,Portland State University,45.510966,-122.683555,87.56,12.44,0.244
uPrairieView,Prairie View A&M,Prairie View A & M University,30.11214,-95.986545,90.63,9.37,0.24
uPresbyterian,Presbyterian,Presbyterian College,34.465182,-81.877559,60.05,39.95,0.499
uQuinnipiac,Quinnipiac,Quinnipiac University,41.419682,-72.895218,72.54,27.46,1.03
uRadford,Radford,Radford University,37.138269,-80.550622,61.55,38.45,0.735
uRider,Rider,Rider University,40.279623,-74.738187,81.52,18.48,1.392
uRobertMorris,Robert Morris,Robert Morris University,40.521551,-80.211922,88.19,11.81,0.624
uSacredHeart,Sacred Heart,Sacred Heart University,41.22039,-73.2433,63.96,36.04,2.891
uSaintFrancis,Saint Francis,Saint Francis University,40.50382,-78.637619,56.37,43.63,0.993
