spaceId,spaceStatus,isStorefront,isInterior,isMobile,placeId,name,genericName.name,genericName.tagId,resolvedName,address,postcode,chain.name,chain.chainId,placeStatus,operatingBasis,entrances.main.lat,entrances.main.lon,entrances.main.entranceMethod,entrances.main.origin.type,entrances.main.origin.id,entrances.main.origin.name,entrances.main.floor,entrances.main.id,parent.states.placeId,parent.states.name,tags.tagId,tags.name,subcategories.tagId,subcategories.name,categories.tagId,categories.name,offerings.positive.tagId,offerings.positive.name,tagsPrimary.tagId,tagsPrimary.name,subcategoriesPrimary.tagId,subcategoriesPrimary.name,categoriesPrimary.tagId,categoriesPrimary.name,spaceCreationDate,placeCreationDate,verifiedTimes,verifiedTimesLast,modifiedDate,validityTime.start,validityTime.end,covidMandates.status,covidMandates.date,covidMandatesLast.status,covidMandatesLast.date,covidObserved.status,covidObserved.date,id,Name_2,id_2,width,n,distance,feature_x,feature_y,nearest_x,nearest_y
59c1146b7b2a3677ef6fb189,Occupied,true,false,false,57fd3311be176d00036957ff,K & L Delicatessen,,,K & L Delicatessen,76-01 37th Avenue,"11372",,,Operating,Year Round,40.7492832599704,-73.8897898787378,fixed,EXTERIOR,,,"1",59c1146b7b2a3677ef6fb188,,,"5511be5a37345d000300065a,59c18724e41d550e7ccd7793","Sandwich Shop,Deli",5511be633d42bd000300064e,Restaurant,59ea276af86351000446c403,Food,563260851f8c100003002b9a,Quick Bites,5511be5a37345d000300065a,Sandwich Shop,5511be633d42bd000300064e,Restaurant,59ea276af86351000446c403,Food,2016-10-11T18:44:33Z,2016-10-11T18:44:33Z,"2016-10-11T18:44:32Z,2018-03-01T22:52:31Z,2018-07-12T20:23:31Z,2018-10-15T22:56:18Z,2019-02-22T17:47:29Z,2019-08-15T16:38:57Z",2019-08-15T16:38:57Z,2019-08-15T16:38:57Z,2016-10-11T18:44:33Z,,Limited Operation,2020-03-17T13:00:00Z,Limited Operation,2020-03-17T13:00:00Z,,,,Jackson Heights - Roosevelt Avenue,"258192",11.9,"1",2.98614049520757e-05,-73.8897898787378,40.7492832599704,-73.8897869848526,40.7492535391203
59c1146b7b2a3677ef6fb1bf,Occupied,true,false,false,57fd3349be176d0003695822,Dime Bank,,,Dime Bank,75-23 37th Avenue,"11372",,,Operating,Year Round,40.7492508184542,-73.8900609651963,fixed,EXTERIOR,,,"1",59c1146b7b2a3677ef6fb1be,,,59c18731e41d550e7ccd77cf,Bank,56dc73c2c55a626ccde58429,Banks & Atms,59ea2934f86351000446c5ee,Services,,,59c18731e41d550e7ccd77cf,Bank,56dc73c2c55a626ccde58429,Banks & Atms,59ea2934f86351000446c5ee,Services,2016-10-11T18:45:29Z,2016-10-11T18:45:29Z,"2016-10-11T18:45:29Z,2018-03-01T22:53:35Z,2018-07-12T20:23:51Z,2018-10-15T22:56:43Z,2019-02-22T17:42:40Z,2019-08-15T16:28:46Z",2019-08-15T16:28:46Z,2020-03-10T17:45:25Z,2016-10-11T18:45:29Z,,No Mandate,2020-03-17T13:00:00Z,No Mandate,2020-03-17T13:00:00Z,,,,Jackson Heights - Roosevelt Avenue,"258126",13.3,"1",3.7097371910233e-05,-73.8900609651963,40.7492508184542,-73.8900569866207,40.7492139350441
59c1146b7b2a3677ef6fb1c2,Occupied,true,false,false,57fd337b9485a7000318a6c4,Habib Electronics & Furniture,,,Habib Electronics & Furniture,7515 37th Avenue,"11372",,,Operating,Year Round,40.7492298005558,-73.8902617584044,fixed,EXTERIOR,,,"1",59c1146b7b2a3677ef6fb1c1,,,"56250dab0d55a70003000583,5511be8037345d0003000700","Home Goods Store,Furniture Store",58193b5403074200033b441f,Furniture & Home Goods,59ea28543a04ba000459f81f,Home & Hobby,,,56250dab0d55a70003000583,Home Goods Store,58193b5403074200033b441f,Furniture & Home Goods,59ea28543a04ba000459f81f,Home & Hobby,2016-10-11T18:46:19Z,2016-10-11T18:46:19Z,"2016-10-11T18:46:19Z,2018-03-01T22:54:57Z,2018-07-12T20:24:21Z,2018-10-15T22:57:13Z,2019-02-22T17:41:49Z,2019-08-15T16:28:36Z",2019-08-15T16:28:36Z,2019-08-15T16:28:37Z,2016-10-11T18:46:19Z,,Temporarily Closed,2020-03-23T00:00:00Z,Temporarily Closed,2020-03-23T00:00:00Z,,,,Jackson Heights - Roosevelt Avenue,"258126",13.3,"1",3.77351312248228e-05,-73.8902617584044,40.7492298005558,-73.8902577114311,40.7491922830647
59c1146b7b2a3677ef6fb1c5,Occupied,true,false,false,57fd335f7e86450003bd1fad,Shades Of Vision,,,Shades Of Vision,75-17 37th Avenue,"11372",,,Operating,Year Round,40.7492376854799,-73.8901662692336,fixed,EXTERIOR,,,"1",59c1146b7b2a3677ef6fb1c4,,,562518e8a61e54000300075c,Eyewear Shop,562518e8a61e54000300075c,Eyewear Shop,59ea28713a04ba000459f849,Fashion,,,562518e8a61e54000300075c,Eyewear Shop,562518e8a61e54000300075c,Eyewear Shop,59ea28713a04ba000459f849,Fashion,2016-10-11T18:45:51Z,2016-10-11T18:45:51Z,"2016-10-11T18:45:51Z,2018-03-01T22:54:23Z,2018-07-12T20:24:04Z,2018-10-15T22:56:54Z,2019-02-22T17:42:14Z,2019-08-15T16:28:40Z",2019-08-15T16:28:40Z,2019-08-15T16:28:40Z,2016-10-11T18:45:51Z,,Temporarily Closed,2020-03-23T00:00:00Z,Temporarily Closed,2020-03-23T00:00:00Z,,,,Jackson Heights - Roosevelt Avenue,"258126",13.3,"1",3.53336674252602e-05,-73.8901662692336,40.7492376854799,-73.8901624798098,40.749202555602
59c1146b7b2a3677ef6fb1c8,Occupied,true,false,false,57fd339d9485a7000318a6d5,Orchid Liquors Inc,,,Orchid Liquors Inc,75-13 37th Avenue,"11372",,,Operating,Year Round,40.7492187209769,-73.8903580514291,fixed,EXTERIOR,,,"1",59c1146b7b2a3677ef6fb1c7,,,59c1871ee41d550e7ccd7761,Liquor Store,5511be5737345d000300064e,Liquor & Wine,59ea28b3f86351000446c544,Essentials,,,59c1871ee41d550e7ccd7761,Liquor Store,5511be5737345d000300064e,Liquor & Wine,59ea28b3f86351000446c544,Essentials,2016-10-11T18:46:53Z,2016-10-11T18:46:53Z,"2016-10-11T18:46:53Z,2018-03-01T22:55:43Z,2018-07-12T20:24:29Z,2018-10-15T22:57:33Z,2019-02-22T17:41:22Z,2019-08-15T16:28:32Z",2019-08-15T16:28:32Z,2019-08-15T16:28:32Z,2016-10-11T18:46:53Z,,No Mandate,2020-03-17T13:00:00Z,No Mandate,2020-03-17T13:00:00Z,,,,Jackson Heights - Roosevelt Avenue,"258126",13.3,"1",3.70465764287595e-05,-73.8903580514291,40.7492187209769,-73.8903540783012,40.7491818880693
59c1146b7b2a3677ef6fb1cd,Occupied,true,false,false,57fd33c57e86450003bd1fd3,GNC,,,GNC,7528 37th Avenue,"11372",GNC,57ba68bfc55a623fd02283fe,Operating,Year Round,40.7490333363235,-73.8900668772756,fixed,EXTERIOR,,,"1",59c1146b7b2a3677ef6fb1cc,,,5511be473d42bd00030005ce,Vitamin & Supplement Store,5511be473d42bd00030005ce,Vitamin & Supplement Store,59ea28b3f86351000446c544,Essentials,,,5511be473d42bd00030005ce,Vitamin & Supplement Store,5511be473d42bd00030005ce,Vitamin & Supplement Store,59ea28b3f86351000446c544,Essentials,2016-10-11T18:47:33Z,2016-10-11T18:47:33Z,"2016-10-11T18:47:33Z,2018-03-01T23:05:40Z,2018-07-12T20:24:11Z,2018-10-15T19:56:52Z,2019-02-22T17:44:02Z,2019-08-15T16:37:35Z",2019-08-15T16:37:35Z,2019-08-15T16:37:35Z,2016-10-11T18:47:33Z,,No Mandate,2020-03-17T13:00:00Z,No Mandate,2020-03-17T13:00:00Z,,,,Jackson Heights - Roosevelt Avenue,"254737",13.5,"1",2.2419997062227e-05,-73.8900668772756,40.7490333363235,-73.8900688688733,40.7490556676872
59c1146b7b2a3677ef6fb1f1,Occupied,true,false,false,57fd34577e86450003bd2016,H&R Block,,,H&R Block,7516 37TH AVE,"11372",H&R Block,57ba63abc55a623fd0227ed4,Operating,Seasonal Closed,40.7489982829088,-73.8904027308625,fixed,EXTERIOR,,,"1",59c1146b7b2a3677ef6fb1f0,,,56dc73c2c55a626ccde5842a,Financial Services Center,56dc73c2c55a626ccde5842a,Financial Services Center,59ea2934f86351000446c5ee,Services,,,56dc73c2c55a626ccde5842a,Financial Services Center,56dc73c2c55a626ccde5842a,Financial Services Center,59ea2934f86351000446c5ee,Services,2016-10-11T18:49:59Z,2016-10-11T18:49:59Z,"2016-10-11T18:49:58Z,2018-03-01T21:06:45Z,2018-07-12T20:28:33Z,2018-10-15T19:53:56Z,2019-02-22T17:38:58Z,2019-08-15T16:15:02Z",2019-08-15T16:15:02Z,2019-08-15T16:15:02Z,2019-02-22T17:38:59Z,,No Mandate,2020-03-17T13:00:00Z,No Mandate,2020-03-17T13:00:00Z,,,,Jackson Heights - Roosevelt Avenue,"254737",13.5,"1",2.75005198776395e-05,-73.8904027308625,40.7489982829088,-73.8904051737698,40.7490256747105
59c1146b7b2a3677ef6fb1f4,Occupied,true,false,false,57fd33f27e86450003bd1fdf,Navy Blue Hair & Nails,,,Navy Blue Hair & Nails,75-24 37th Avenue,"11368",,,Operating,Year Round,40.7490218060823,-73.8901918211122,fixed,EXTERIOR,,,"1",59c1146b7b2a3677ef6fb1f3,,,"559e99d6c30a3b000300004c,5511be4237345d00030005e6","Hair Salon,Nail Salon","5819360a1c464c000357b1bc,5511be4237345d00030005e6","Barber Shops & Hair Salons,Nail Salon",59f0ae905f4db6000450b723,Body,,,559e99d6c30a3b000300004c,Hair Salon,5819360a1c464c000357b1bc,Barber Shops & Hair Salons,59f0ae905f4db6000450b723,Body,2016-10-11T18:48:18Z,2016-10-11T18:48:18Z,"2016-10-11T18:48:18Z,2018-03-01T23:04:36Z,2018-07-12T20:26:51Z,2018-10-15T19:55:03Z,2019-02-22T17:43:12Z,2019-08-15T16:36:50Z",2019-08-15T16:36:50Z,2019-08-15T16:36:50Z,2016-10-11T18:48:18Z,,Temporarily Closed,2020-03-23T00:00:00Z,Temporarily Closed,2020-03-23T00:00:00Z,,,,Jackson Heights - Roosevelt Avenue,"254737",13.5,"1",2.28057306577167e-05,-73.8901918211122,40.7490218060823,-73.8901938469752,40.7490445216547
59c1146b7b2a3677ef6fb1f8,Occupied,true,false,false,5b47b9772bbded00033a7843,Tibetan Japanese Restaurant,,,Tibetan Japanese Restaurant,7526 37th Avenue,"11372",,,Operating,Year Round,40.7490293559134,-73.8901156251585,fixed,EXTERIOR,,,"1",59c1146b7b2a3677ef6fb1f7,,,"5511be6c37345d00030006ac,5511be7637345d00030006d8,5511be5d37345d0003000669","Tibetan Restaurant,Japanese Restaurant,Asian Fusion Restaurant",5511be633d42bd000300064e,Restaurant,59ea276af86351000446c403,Food,56dc73c2c55a626ccde58419,Dine In,5511be6c37345d00030006ac,Tibetan Restaurant,5511be633d42bd000300064e,Restaurant,59ea276af86351000446c403,Food,2016-10-11T18:47:55Z,2018-07-12T20:26:30Z,"2018-07-12T20:26:30Z,2018-10-15T19:56:02Z,2019-02-22T17:43:36Z,2019-08-15T16:37:13Z",2019-08-15T16:37:13Z,2019-08-15T16:37:13Z,2018-07-12T20:26:30Z,,Limited Operation,2020-03-17T13:00:00Z,Limited Operation,2020-03-17T13:00:00Z,,,,Jackson Heights - Roosevelt Avenue,"254737",13.5,"1",2.20543329408811e-05,-73.8901156251585,40.7490293559134,-73.8901175842738,40.7490513230586
59c1146b7b2a3677ef6fb202,Occupied,true,false,false,57fd341dbe176d000369586a,Dunkin' Donuts,,,Dunkin' Donuts,7520 37th Avenue,"11372",Dunkin' Donuts,57ba632ac55a623fd0227e69,Operating,Year Round,40.7490108040515,-73.8902835064713,fixed,EXTERIOR,,,"1",59c1146b7b2a3677ef6fb201,,,"5511be5237345d0003000636,5511be713d42bd0003000699","Coffee Shop,Donut Shop","58193af11c464c000357b1cc,56252e42a61e5400030050fd","Coffee & Tea,Sweets & Desserts",59ea276af86351000446c403,Food,"5772b02f77b28e000301541b,563260851f8c100003002b9a","Offers Free Wifi,Quick Bites",5511be5237345d0003000636,Coffee Shop,58193af11c464c000357b1cc,Coffee & Tea,59ea276af86351000446c403,Food,2016-10-11T18:49:01Z,2016-10-11T18:49:01Z,"2016-10-11T18:49:00Z,2018-03-01T23:03:23Z,2018-07-12T20:27:55Z,2018-10-15T19:54:21Z,2019-02-22T17:40:34Z,2019-08-15T16:35:21Z",2019-08-15T16:35:21Z,2019-08-15T16:35:21Z,2016-10-11T18:49:00Z,,Limited Operation,2020-03-17T13:00:00Z,Limited Operation,2020-03-17T13:00:00Z,,,,Jackson Heights - Roosevelt Avenue,"254737",13.5,"1",2.56197362867161e-05,-73.8902835064713,40.7490108040515,-73.8902857823061,40.7490363225049
