soldPrice,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,beds,baths,area,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus
$2.40M,2400000,"8 Deep Well Ln, Los Altos, CA 94022",8 Deep Well Ln,Los Altos,CA,94022,2,2,1840,CONDO,RECENTLY_SOLD
$1.51M,1511000,"73 3rd St APT 32, Los Altos, CA 94022",73 3rd St APT 32,Los Altos,CA,94022,2,2,1344,CONDO,RECENTLY_SOLD
$1.15M,1150000,"226 W Edith Ave APT 23, Los Altos, CA 94022",226 W Edith Ave APT 23,Los Altos,CA,94022,2,2,1131,CONDO,RECENTLY_SOLD
$1.70M,1695000,"4880 El Camino Real #52, Los Altos, CA 94022",4880 El Camino Real #52,Los Altos,CA,94022,,,,CONDO,RECENTLY_SOLD
$1.45M,1450000,"4880 El Camino Real #23, Los Altos, CA 94022",4880 El Camino Real #23,Los Altos,CA,94022,2,2,1141,CONDO,RECENTLY_SOLD
$1.19M,1188000,"470 Gabilan St APT 4, Los Altos, CA 94022",470 Gabilan St APT 4,Los Altos,CA,94022,2,2,1140,CONDO,RECENTLY_SOLD
$1.45M,1450000,"4880 El Camino Real #23, Los Altos, CA 94022",4880 El Camino Real #23,Los Altos,CA,94022,,,,CONDO,RECENTLY_SOLD
$1.45M,1450000,"4880 El Camino Real, Los Altos, CA 94022",4880 El Camino Real,Los Altos,CA,94022,0,,1980,CONDO,RECENTLY_SOLD
$1.69M,1688000,"396 1st St #7, Los Altos, CA 94022",396 1st St #7,Los Altos,CA,94022,2,2,1406,CONDO,RECENTLY_SOLD
$1.15M,1150000,"226 W Edith Ave APT 16, Los Altos, CA 94022",226 W Edith Ave APT 16,Los Altos,CA,94022,2,2,968,CONDO,RECENTLY_SOLD
$1.16M,1160000,"4388 El Camino Real UNIT 128, Los Altos, CA 94022",4388 El Camino Real UNIT 128,Los Altos,CA,94022,2,2,1200,CONDO,RECENTLY_SOLD
$1.81M,1815000,"4388 El Camino Real UNIT 68, Los Altos, CA 94022",4388 El Camino Real UNIT 68,Los Altos,CA,94022,3,3,1600,CONDO,RECENTLY_SOLD
$1.90M,1900000,"86 3rd St UNIT 206, Los Altos, CA 94022",86 3rd St UNIT 206,Los Altos,CA,94022,2,2,1183,CONDO,RECENTLY_SOLD
$1.19M,1188000,"662 N San Antonio Rd, Los Altos, CA 94022",662 N San Antonio Rd,Los Altos,CA,94022,2,2,1077,CONDO,RECENTLY_SOLD
$1.54M,1540000,"77 Los Altos Sq, Los Altos, CA 94022",77 Los Altos Sq,Los Altos,CA,94022,2,3,1568,CONDO,RECENTLY_SOLD
$1.79M,1790000,"5100 El Camino Real APT 110, Los Altos, CA 94022",5100 El Camino Real APT 110,Los Altos,CA,94022,3,2,1410,CONDO,RECENTLY_SOLD
"$860,000 ",860000,"4388 El Camino Real UNIT 198, Los Altos, CA 94022",4388 El Camino Real UNIT 198,Los Altos,CA,94022,1,1,787,CONDO,RECENTLY_SOLD
"$780,000 ",780000,"460 Lassen St APT 9, Los Altos, CA 94022",460 Lassen St APT 9,Los Altos,CA,94022,1,1,944,CONDO,RECENTLY_SOLD
$1.88M,1875000,"1 W Edith Ave APT B107, Los Altos, CA 94022",1 W Edith Ave APT B107,Los Altos,CA,94022,2,2,1568,CONDO,RECENTLY_SOLD
$2.20M,2200000,"6 Bay Tree Ln, Los Altos, CA 94022",6 Bay Tree Ln,Los Altos,CA,94022,2,2,1840,CONDO,RECENTLY_SOLD
$2.00M,2000000,"124 2nd St APT 11, Los Altos, CA 94022",124 2nd St APT 11,Los Altos,CA,94022,3,2,1505,CONDO,RECENTLY_SOLD
$1.40M,1400000,"226 W Edith Ave APT 33, Los Altos, CA 94022",226 W Edith Ave APT 33,Los Altos,CA,94022,2,2,1181,CONDO,RECENTLY_SOLD
$2.92M,2920000,"673 Springer Ter, Los Altos, CA 94024",673 Springer Ter,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
$1.25M,1250000,"575 Tyndall St APT 2, Los Altos, CA 94022",575 Tyndall St APT 2,Los Altos,CA,94022,2,2,1192,CONDO,RECENTLY_SOLD
$1.65M,1650000,"4880 El Camino Real #33, Los Altos, CA 94022",4880 El Camino Real #33,Los Altos,CA,94022,2,2,1141,CONDO,RECENTLY_SOLD
$1.00M,1001000,"73 3rd St APT 27, Los Altos, CA 94022",73 3rd St APT 27,Los Altos,CA,94022,2,2,1072,CONDO,RECENTLY_SOLD
$1.41M,1410000,"226 W Edith Ave APT 34, Los Altos, CA 94022",226 W Edith Ave APT 34,Los Altos,CA,94022,2,2,1270,CONDO,RECENTLY_SOLD
$1.35M,1350000,"511 Lassen St, Los Altos, CA 94022",511 Lassen St,Los Altos,CA,94022,2,3,1280,CONDO,RECENTLY_SOLD
$1.62M,1625000,"480 Lassen St APT 3, Los Altos, CA 94022",480 Lassen St APT 3,Los Altos,CA,94022,2,2,1284,CONDO,RECENTLY_SOLD
$2.75M,2745000,"1625 Wakefield Ter, Los Altos, CA 94024",1625 Wakefield Ter,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
$1.40M,1400000,"5100 El Camino Real APT 102, Los Altos, CA 94022",5100 El Camino Real APT 102,Los Altos,CA,94022,3,2,1467,CONDO,RECENTLY_SOLD
$4.12M,4125000,"1474 Club View Ter, Los Altos, CA 94024",1474 Club View Ter,Los Altos,CA,94024,,,,CONDO,RECENTLY_SOLD
$1.93M,1925000,"38 3rd St APT 201, Los Altos, CA 94022",38 3rd St APT 201,Los Altos,CA,94022,2,2,1323,APARTMENT,RECENTLY_SOLD
$1.11M,1110000,"226 W Edith Ave APT 10, Los Altos, CA 94022",226 W Edith Ave APT 10,Los Altos,CA,94022,2,2,1072,APARTMENT,RECENTLY_SOLD
